sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_006_WBaR1_S6,285,Comamonas testosteroni,,4,44.2184391,0.4576519,23,254.2560248,0.7637169
RR034H_006_WBaR1_S6,287,Pseudomonas aeruginosa,,20,221.0921954,2.3232803,25,276.3652443,0.550438
RR034H_006_WBaR1_S6,292,Burkholderia cepacia,,2,22.1092195,1.4434668,4,44.2184391,1.5996906
RR034H_006_WBaR1_S6,293,Brevundimonas diminuta,,1,11.0546098,0.5574721,0,0,-100
RR034H_006_WBaR1_S6,303,Pseudomonas putida,,2,22.1092195,0.7778784,0,0,-100
RR034H_006_WBaR1_S6,305,Ralstonia solanacearum,,2,22.1092195,-0.7303752,9,99.491488,1.9395491
RR034H_006_WBaR1_S6,316,Pseudomonas stutzeri,,1,11.0546098,0.7100358,0,0,-100
RR034H_006_WBaR1_S6,329,Ralstonia pickettii,,22,243.201415,3.562017,12,132.6553173,1.8889435
RR034H_006_WBaR1_S6,358,Agrobacterium tumefaciens,,3,33.1638293,3.2362229,0,0,-100
RR034H_006_WBaR1_S6,375,Bradyrhizobium japonicum,,1,11.0546098,-0.2358906,2,22.1092195,1.4831875
RR034H_006_WBaR1_S6,380,Sinorhizobium fredii,,2,22.1092195,2.4132867,0,0,-100
RR034H_006_WBaR1_S6,381,Mesorhizobium loti,,0,0,-100,3,33.1638293,3.4209037
RR034H_006_WBaR1_S6,487,Neisseria meningitidis,,1,11.0546098,1.4900719,2,22.1092195,1.5305664
RR034H_006_WBaR1_S6,536,Chromobacterium violaceum,,2,22.1092195,6.3733779,0,0,-100
RR034H_006_WBaR1_S6,550,Enterobacter cloacae,,1,11.0546098,0.2299376,0,0,-100
RR034H_006_WBaR1_S6,562,Escherichia coli,,159,1757.6829538,10.8720019,147,1625.0276365,0.9788734
RR034H_006_WBaR1_S6,573,Klebsiella pneumoniae,,0,0,-100,6,66.3276586,0.3829301
RR034H_006_WBaR1_S6,582,Morganella morganii,,2,22.1092195,100,0,0,-100
RR034H_006_WBaR1_S6,587,Providencia rettgeri,,1623,17941.6316604,15.3729315,2,22.1092195,63.7744441
RR034H_006_WBaR1_S6,623,Shigella flexneri,,2,22.1092195,11.0032978,4,44.2184391,7.148684
RR034H_006_WBaR1_S6,1270,Micrococcus luteus,,51,563.7850984,1.3640659,42,464.2936104,10.0788479
RR034H_006_WBaR1_S6,1274,Dermacoccus nishinomiyaensis,,146,1613.9730268,19.9636666,110,1216.007075,99
RR034H_006_WBaR1_S6,1282,Staphylococcus epidermidis,,8,88.4368782,-0.1212632,9,99.491488,2.2371117
RR034H_006_WBaR1_S6,1302,Streptococcus gordonii,,2,22.1092195,46.9247797,0,0,-100
RR034H_006_WBaR1_S6,1313,Streptococcus pneumoniae,,0,0,-100,2,22.1092195,-0.4836145
RR034H_006_WBaR1_S6,1328,Streptococcus anginosus,,0,0,-100,1,11.0546098,-0.9217315
RR034H_006_WBaR1_S6,1685,Bifidobacterium breve,,1,11.0546098,3.0541472,0,0,-100
RR034H_006_WBaR1_S6,1717,Corynebacterium diphtheriae,,8,88.4368782,56.6479332,0,0,-100
RR034H_006_WBaR1_S6,1747,Cutibacterium acnes,,291,3216.8914437,4.6230249,196,2166.7035154,2.9440573
RR034H_006_WBaR1_S6,1833,Rhodococcus erythropolis,,3,33.1638293,7.5253729,1,11.0546098,-0.4388614
RR034H_006_WBaR1_S6,4081,Solanum lycopersicum,,2,22.1092195,1.9328423,1623,17941.6316604,15.3211339
RR034H_006_WBaR1_S6,4565,Triticum aestivum,,4,44.2184391,1.7850141,0,0,-100
RR034H_006_WBaR1_S6,4932,Saccharomyces cerevisiae,,2,22.1092195,0.9055127,0,0,-100
RR034H_006_WBaR1_S6,5821,Plasmodium berghei,,2,22.1092195,100,0,0,-100
RR034H_006_WBaR1_S6,5827,Plasmodium cynomolgi,,2,22.1092195,13.4356184,0,0,-100
RR034H_006_WBaR1_S6,5833,Plasmodium falciparum,,2865,31671.4569976,99,2803,30986.0711917,99
