sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_001_PLMaR1_S1,81,Hyphomicrobium,,0,0,-100,2,13.9596566,1.7513226
RR034H_001_PLMaR1_S1,191,Azospirillum,,5,34.8991415,3.200183,0,0,-100
RR034H_001_PLMaR1_S1,222,Achromobacter,,1,6.9798283,-0.7716611,0,0,-100
RR034H_001_PLMaR1_S1,279,Xanthobacter,,2,13.9596566,3.9568918,0,0,-100
RR034H_001_PLMaR1_S1,283,Comamonas,,0,0,-100,37,258.253647,0.1696755
RR034H_001_PLMaR1_S1,286,Pseudomonas,,40,279.1931318,0.0024723,25,174.4957074,-0.4459844
RR034H_001_PLMaR1_S1,338,Xanthomonas,,6,41.8789698,-0.1893541,1,6.9798283,-1.559971
RR034H_001_PLMaR1_S1,357,Agrobacterium,,5,34.8991415,0.5533442,2,13.9596566,-0.5315624
RR034H_001_PLMaR1_S1,374,Bradyrhizobium,,64,446.709011,0.0625512,60,418.7896978,0.0551835
RR034H_001_PLMaR1_S1,379,Rhizobium,,2,13.9596566,-0.6625897,2,13.9596566,-0.5054792
RR034H_001_PLMaR1_S1,407,Methylobacterium,,9,62.8184547,-0.529658,8,55.8386264,-0.7847417
RR034H_001_PLMaR1_S1,416,Methylomonas,,1,6.9798283,53.3916223,0,0,-100
RR034H_001_PLMaR1_S1,469,Acinetobacter,,0,0,-100,1506,10511.6214141,9.2335975
RR034H_001_PLMaR1_S1,517,Bordetella,,4,27.9193132,-0.1938453,2,13.9596566,-0.5277391
RR034H_001_PLMaR1_S1,535,Chromobacterium,,10,69.798283,8.4127495,0,0,-100
RR034H_001_PLMaR1_S1,544,Citrobacter,,9,62.8184547,6.4552127,1,6.9798283,0.5600627
RR034H_001_PLMaR1_S1,547,Enterobacter,,0,0,-100,4,27.9193132,2.3545111
RR034H_001_PLMaR1_S1,561,Escherichia,,169,1179.5909821,6.9475334,138,963.2163049,0.3195215
RR034H_001_PLMaR1_S1,570,Klebsiella,,2,13.9596566,-0.9231683,7,48.8587981,-0.4824124
RR034H_001_PLMaR1_S1,586,Providencia,,1744,12172.8205486,10.0573635,0,0,-100
RR034H_001_PLMaR1_S1,590,Salmonella,,2,13.9596566,3.9455978,0,0,-100
RR034H_001_PLMaR1_S1,613,Serratia,,1,6.9798283,-0.5990745,0,0,-100
RR034H_001_PLMaR1_S1,620,Shigella,,4,27.9193132,5.7946229,14,97.7175961,8.9913753
RR034H_001_PLMaR1_S1,662,Vibrio,,2,13.9596566,-0.5859133,1,6.9798283,-0.5986447
RR034H_001_PLMaR1_S1,970,Selenomonas,,2,13.9596566,1.4169867,0,0,-100
RR034H_001_PLMaR1_S1,1033,Afipia,,0,0,-100,3,20.9394849,0.1015703
RR034H_001_PLMaR1_S1,1041,Erythrobacter,,2,13.9596566,1.6579882,0,0,-100
RR034H_001_PLMaR1_S1,1073,Rhodopseudomonas,,4,27.9193132,0.3691301,0,0,-100
RR034H_001_PLMaR1_S1,1081,Rhodospirillum,,1,6.9798283,99,0,0,-100
RR034H_001_PLMaR1_S1,1111,Porphyrobacter,,1,6.9798283,-0.0568939,0,0,-100
RR034H_001_PLMaR1_S1,1177,Nostoc,,1,6.9798283,-0.1242889,0,0,-100
RR034H_001_PLMaR1_S1,1578,Lactobacillus,,0,0,-100,2,13.9596566,-1.1206767
RR034H_001_PLMaR1_S1,1663,Arthrobacter,,6,41.8789698,1.1418343,0,0,-100
RR034H_001_PLMaR1_S1,1678,Bifidobacterium,,1,6.9798283,-1.1030393,0,0,-100
RR034H_001_PLMaR1_S1,1716,Corynebacterium,,7,48.8587981,-1.1158389,4,27.9193132,-0.8797764
RR034H_001_PLMaR1_S1,1743,Propionibacterium,,0,0,-100,12,83.7579396,0.2576794
RR034H_001_PLMaR1_S1,1763,Mycobacterium,,1,6.9798283,-0.9262373,9,62.8184547,0.4329536
RR034H_001_PLMaR1_S1,1827,Rhodococcus,,4,27.9193132,-0.3469544,6,41.8789698,-0.4808556
RR034H_001_PLMaR1_S1,1839,Nocardioides,,6,41.8789698,-0.1592475,0,0,-100
RR034H_001_PLMaR1_S1,1847,Pseudonocardia,,1,6.9798283,-0.6439328,0,0,-100
RR034H_001_PLMaR1_S1,12916,Acidovorax,,25,174.4957074,-0.4142517,34,237.3141621,0.2420796
RR034H_001_PLMaR1_S1,13687,Sphingomonas,,6,41.8789698,-0.6899322,12,83.7579396,-0.4214362
RR034H_001_PLMaR1_S1,28067,Rubrivivax,,8,55.8386264,4.2386519,0,0,-100
RR034H_001_PLMaR1_S1,28105,Sinorhizobium,,3,20.9394849,0.5761032,0,0,-100
RR034H_001_PLMaR1_S1,31988,Aminobacter,,1,6.9798283,3.5402784,0,0,-100
RR034H_001_PLMaR1_S1,32008,Burkholderia,,40,279.1931318,0.8348954,20,139.5965659,-0.4285922
RR034H_001_PLMaR1_S1,32012,Thiomonas,,1,6.9798283,6.2155987,0,0,-100
RR034H_001_PLMaR1_S1,34072,Variovorax,,18,125.6369093,3.5328098,15,104.6974244,1.1817672
RR034H_001_PLMaR1_S1,38501,Blastococcus,,2,13.9596566,-0.155512,0,0,-100
RR034H_001_PLMaR1_S1,39643,Sorangium,,3,20.9394849,4.7588241,0,0,-100
RR034H_001_PLMaR1_S1,40136,Oligotropha,,0,0,-100,1,6.9798283,100
RR034H_001_PLMaR1_S1,40323,Stenotrophomonas,,5,34.8991415,-0.9381166,6,41.8789698,-0.5654263
RR034H_001_PLMaR1_S1,41275,Brevundimonas,,1,6.9798283,-0.6038675,0,0,-100
RR034H_001_PLMaR1_S1,43668,Brachybacterium,,18,125.6369093,7.9336764,0,0,-100
