sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_007_WBaR1_S7,68,Lysobacter,,5,9.5062456,-0.6289099,0,0,-100
RR034H_007_WBaR1_S7,75,Caulobacter,,1,1.9012491,-0.9807228,0,0,-100
RR034H_007_WBaR1_S7,191,Azospirillum,,0,0,-100,1,1.9012491,-1.0673088
RR034H_007_WBaR1_S7,234,Brucella,,0,0,-100,1,1.9012491,-0.776387
RR034H_007_WBaR1_S7,283,Comamonas,,0,0,-100,13,24.7162386,-0.70778
RR034H_007_WBaR1_S7,286,Pseudomonas,,19,36.1237333,-1.5031514,19,36.1237333,-1.1288004
RR034H_007_WBaR1_S7,338,Xanthomonas,,1,1.9012491,-0.6149754,3,5.7037474,-1.6234099
RR034H_007_WBaR1_S7,357,Agrobacterium,,1,1.9012491,-0.9455788,2,3.8024982,-1.1263447
RR034H_007_WBaR1_S7,379,Rhizobium,,3,5.7037474,-0.7622745,8,15.209993,-0.4778039
RR034H_007_WBaR1_S7,469,Acinetobacter,,0,0,-100,490,931.6120691,-0.0550277
RR034H_007_WBaR1_S7,544,Citrobacter,,0,0,-100,1,1.9012491,-0.5413257
RR034H_007_WBaR1_S7,561,Escherichia,,47,89.3587087,-0.669065,43,81.7537122,-0.5586655
RR034H_007_WBaR1_S7,570,Klebsiella,,0,0,-100,2,3.8024982,-1.1594153
RR034H_007_WBaR1_S7,590,Salmonella,,0,0,-100,1,1.9012491,-0.5351125
RR034H_007_WBaR1_S7,620,Shigella,,1,1.9012491,-0.2474341,4,7.6049965,-0.4138999
RR034H_007_WBaR1_S7,662,Vibrio,,2,3.8024982,-0.9393583,0,0,-100
RR034H_007_WBaR1_S7,724,Haemophilus,,3,5.7037474,-0.6530229,1,1.9012491,-1.1119529
RR034H_007_WBaR1_S7,838,Prevotella,,0,0,-100,2,3.8024982,-0.3713781
RR034H_007_WBaR1_S7,906,Megasphaera,,1,1.9012491,1.120096,0,0,-100
RR034H_007_WBaR1_S7,963,Herbaspirillum,,2,3.8024982,-0.6636973,0,0,-100
RR034H_007_WBaR1_S7,1041,Erythrobacter,,1,1.9012491,-0.5849482,0,0,-100
RR034H_007_WBaR1_S7,1301,Streptococcus,,1,1.9012491,-0.9253756,17,32.3212351,-0.9367095
RR034H_007_WBaR1_S7,1375,Aerococcus,,2,3.8024982,-0.2076858,1,1.9012491,-0.4851059
RR034H_007_WBaR1_S7,1578,Lactobacillus,,0,0,-100,2,3.8024982,-1.1899493
RR034H_007_WBaR1_S7,1663,Arthrobacter,,1,1.9012491,-0.7752866,0,0,-100
RR034H_007_WBaR1_S7,1716,Corynebacterium,,1,1.9012491,-1.6130157,1,1.9012491,-1.0867042
RR034H_007_WBaR1_S7,1827,Rhodococcus,,3,5.7037474,-0.97857,7,13.3087438,-1.083818
RR034H_007_WBaR1_S7,1847,Pseudonocardia,,3,5.7037474,-0.7219882,0,0,-100
RR034H_007_WBaR1_S7,12916,Acidovorax,,5,9.5062456,-1.3108751,6,11.4074947,-0.9690734
RR034H_007_WBaR1_S7,13687,Sphingomonas,,2,3.8024982,-0.7836582,2,3.8024982,-1.1191642
RR034H_007_WBaR1_S7,28100,Phyllobacterium,,4,7.6049965,-0.638243,4,7.6049965,-0.1548073
RR034H_007_WBaR1_S7,29580,Janthinobacterium,,3,5.7037474,-0.3380164,0,0,-100
RR034H_007_WBaR1_S7,32008,Burkholderia,,16,30.4199859,-1.1668518,18,34.2224842,-1.4467878
RR034H_007_WBaR1_S7,32067,Leptotrichia,,2,3.8024982,17.8843515,2,3.8024982,1.3431092
RR034H_007_WBaR1_S7,33882,Microbacterium,,1,1.9012491,-1.5222697,0,0,-100
RR034H_007_WBaR1_S7,34072,Variovorax,,0,0,-100,2,3.8024982,-1.0268595
RR034H_007_WBaR1_S7,40323,Stenotrophomonas,,14,26.6174877,-1.0731462,7,13.3087438,-1.0593628
RR034H_007_WBaR1_S7,47420,Hydrogenophaga,,1,1.9012491,-1.003481,1,1.9012491,-0.5923722
RR034H_007_WBaR1_S7,48736,Ralstonia,,24,45.6299789,-1.2704988,13,24.7162386,-1.3246984
RR034H_007_WBaR1_S7,54298,Chroococcidiopsis,,2,3.8024982,-0.6853406,0,0,-100
RR034H_007_WBaR1_S7,57493,Kocuria,,8,15.209993,-0.9003627,8,15.209993,2.4525233
RR034H_007_WBaR1_S7,57495,Dermacoccus,,17,32.3212351,-0.1540265,0,0,-100
RR034H_007_WBaR1_S7,68287,Mesorhizobium,,2,3.8024982,-1.5299044,0,0,-100
RR034H_007_WBaR1_S7,72763,Tessaracoccus,,1,1.9012491,-0.6632583,1,1.9012491,-0.4983139
RR034H_007_WBaR1_S7,80865,Delftia,,565,1074.2057532,-0.7732317,463,880.2783429,-0.7685822
RR034H_007_WBaR1_S7,92793,Aquabacterium,,0,0,-100,2,3.8024982,-1.075992
RR034H_007_WBaR1_S7,93681,Roseateles,,2,3.8024982,-0.7948033,2,3.8024982,-1.3487046
RR034H_007_WBaR1_S7,110932,Leifsonia,,1,1.9012491,-0.4826071,1,1.9012491,-0.3977314
RR034H_007_WBaR1_S7,165695,Sphingobium,,3,5.7037474,-0.8410123,0,0,-100
RR034H_007_WBaR1_S7,165697,Sphingopyxis,,2,3.8024982,-1.3211247,0,0,-100
RR034H_007_WBaR1_S7,174951,Ramlibacter,,4,7.6049965,0.1369768,0,0,-100
RR034H_007_WBaR1_S7,201096,Alicycliphilus,,0,0,-100,1,1.9012491,-0.9819704
RR034H_007_WBaR1_S7,318147,Paucibacter,,1,1.9012491,-1.0690104,0,0,-100
RR034H_007_WBaR1_S7,1649468,Melaminivora,,2,3.8024982,-0.6444924,2,3.8024982,-0.4885864
RR034H_007_WBaR1_S7,1742989,Glutamicibacter,,1,1.9012491,7.7001351,0,0,-100
RR034H_007_WBaR1_S7,1822464,Paraburkholderia,,4,7.6049965,-0.8784925,0,0,-100
RR034H_007_WBaR1_S7,1847725,Lawsonella,,2,3.8024982,-0.6555297,0,0,-100
RR034H_007_WBaR1_S7,1912216,Cutibacterium,,8,15.209993,-1.5766816,8,15.209993,-1.361934
RR034H_007_WBaR1_S7,2282523,Methylorubrum,,7,13.3087438,-0.8440848,5,9.5062456,-0.7341974
RR034H_006_WBaR1_S6,22,Shewanella,,1,11.0546098,0.9767653,0,0,-100
RR034H_006_WBaR1_S6,68,Lysobacter,,0,0,-100,3,33.1638293,2.1523295
RR034H_006_WBaR1_S6,118,Planctomyces,,7,77.3822684,14.7889809,0,0,-100
RR034H_006_WBaR1_S6,283,Comamonas,,8,88.4368782,1.2811083,49,541.6758788,1.2345601
RR034H_006_WBaR1_S6,286,Pseudomonas,,47,519.5666593,1.4913972,27,298.4744639,0.1658062
RR034H_006_WBaR1_S6,338,Xanthomonas,,7,77.3822684,0.1886305,2,22.1092195,-0.80783
RR034H_006_WBaR1_S6,357,Agrobacterium,,4,44.2184391,0.9766716,0,0,-100
RR034H_006_WBaR1_S6,379,Rhizobium,,7,77.3822684,0.103198,0,0,-100
