sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_007_WBaR1_S7,3701,Arabidopsis,,292,555.1647432,53.9163171,0,0,-100
RR034H_007_WBaR1_S7,4231,Helianthus,,2,3.8024982,1.3000469,0,0,-100
RR034H_007_WBaR1_S7,4527,Oryza,,3,5.7037474,-0.9918596,0,0,-100
RR034H_007_WBaR1_S7,7174,Culex,,1,1.9012491,-0.5877641,0,0,-100
RR034H_007_WBaR1_S7,7215,Drosophila,,2,3.8024982,-0.8160441,0,0,-100
RR034H_007_WBaR1_S7,55193,Malassezia,,9,17.1112421,-0.9049574,4,7.6049965,-1.0158722
RR034H_006_WBaR1_S6,3877,Medicago,,2,22.1092195,18.2105773,0,0,-100
RR034H_006_WBaR1_S6,3980,Hevea,,1,11.0546098,0.6457299,0,0,-100
RR034H_006_WBaR1_S6,4527,Oryza,,4,44.2184391,2.2860702,0,0,-100
RR034H_006_WBaR1_S6,4564,Triticum,,4,44.2184391,1.6454036,1,11.0546098,-0.071745
RR034H_006_WBaR1_S6,4930,Saccharomyces,,2,22.1092195,0.9023401,0,0,-100
RR034H_006_WBaR1_S6,5820,Plasmodium,,2883,31870.4399735,99,2810,31063.4534601,99
RR034H_006_WBaR1_S6,7174,Culex,,11,121.6007075,1.8033653,0,0,-100
RR034H_006_WBaR1_S6,7215,Drosophila,,14,154.7645368,5.3088723,0,0,-100
RR034H_006_WBaR1_S6,45350,Nematostella,,0,0,-100,2,22.1092195,18.5153241
RR034H_006_WBaR1_S6,55193,Malassezia,,275,3040.0176874,12.1744232,242,2675.2155649,40.7402472
RR034H_006_WBaR1_S6,1535326,Candida,,2,22.1092195,8.0837691,0,0,-100
RR034H_014_wbldRa_S13,4527,Oryza,,1,0.7443788,-1.4139443,0,0,-100
RR034H_014_wbldRa_S13,4930,Saccharomyces,,6,4.4662729,-0.2024777,0,0,-100
RR034H_014_wbldRa_S13,7215,Drosophila,,1,0.7443788,-0.9401198,0,0,-100
RR034H_003_WBaR1_S3,4527,Oryza,,2,1.4066538,-1.357579,0,0,-100
RR034H_003_WBaR1_S3,7215,Drosophila,,1,0.7033269,-0.9417854,0,0,-100
RR034H_002_WBaR1_S2,4480,Aegilops,,3,1.8312,0.0109467,2,1.2208,0.4730624
RR034H_002_WBaR1_S2,4564,Triticum,,4,2.4416,-0.8868637,0,0,-100
RR034H_002_WBaR1_S2,4930,Saccharomyces,,1,0.6104,-0.4439361,0,0,-100
RR034H_002_WBaR1_S2,5820,Plasmodium,,3,1.8312,-1.1538506,0,0,-100
RR034H_002_WBaR1_S2,7174,Culex,,11,6.7143999,-0.491616,0,0,-100
RR034H_002_WBaR1_S2,7215,Drosophila,,6,3.6624,-0.8217282,0,0,-100
RR034H_004_WBaR1_S4,3689,Populus,,2,9.891686,0.1479955,0,0,-100
RR034H_004_WBaR1_S4,3701,Arabidopsis,,2,9.891686,0.2677745,0,0,-100
RR034H_004_WBaR1_S4,4480,Aegilops,,2,9.891686,2.8076388,1,4.945843,4.1820824
RR034H_004_WBaR1_S4,4527,Oryza,,3,14.8375291,-0.2144966,0,0,-100
RR034H_004_WBaR1_S4,4564,Triticum,,5,24.7292151,0.464081,0,0,-100
RR034H_004_WBaR1_S4,4930,Saccharomyces,,1,4.945843,-0.1724466,0,0,-100
RR034H_004_WBaR1_S4,7174,Culex,,22,108.8085464,1.5478277,0,0,-100
RR034H_004_WBaR1_S4,7215,Drosophila,,13,64.2959592,1.6383305,0,0,-100
RR034H_004_WBaR1_S4,9102,Meleagris,,10,49.4584302,100,0,0,-100
RR034H_004_WBaR1_S4,45350,Nematostella,,2,9.891686,5.6558654,0,0,-100
RR034H_004_WBaR1_S4,59537,Pantholops,,18,89.0251743,100,0,0,-100
RR034H_004_WBaR1_S4,1535326,Candida,,1,4.945843,1.0421238,0,0,-100
RR034H_008_mad_W6a_S8,3337,Pinus,,0,0,-100,2,10.2294465,1.1605149
RR034H_008_mad_W6a_S8,3689,Populus,,0,0,-100,1,5.1147232,10.2481537
RR034H_008_mad_W6a_S8,3701,Arabidopsis,,5,25.5736162,1.8106944,0,0,-100
RR034H_008_mad_W6a_S8,4480,Aegilops,,2,10.2294465,2.9248292,0,0,-100
RR034H_008_mad_W6a_S8,4527,Oryza,,3,15.3441697,-0.1713772,0,0,-100
RR034H_008_mad_W6a_S8,4564,Triticum,,2,10.2294465,-0.4148101,0,0,-100
RR034H_008_mad_W6a_S8,4930,Saccharomyces,,3,15.3441697,0.4787064,0,0,-100
RR034H_008_mad_W6a_S8,7174,Culex,,27,138.0975275,2.1329076,0,0,-100
RR034H_008_mad_W6a_S8,7215,Drosophila,,4,20.458893,-0.1402515,0,0,-100
RR034H_008_mad_W6a_S8,45350,Nematostella,,1,5.1147232,2.7085239,1,5.1147232,3.7171699
RR034H_008_mad_W6a_S8,55193,Malassezia,,4,20.458893,-0.8904729,0,0,-100
RR034H_008_mad_W6a_S8,81055,Wolfiporia,,6,30.6883395,2.4507453,0,0,-100
RR034H_011_WBaR1_S10,3337,Pinus,,0,0,-100,4,2.8075771,-0.0241051
RR034H_011_WBaR1_S10,3701,Arabidopsis,,4,2.8075771,-0.4292197,0,0,-100
RR034H_011_WBaR1_S10,3877,Medicago,,3,2.1056828,0.9378575,0,0,-100
RR034H_011_WBaR1_S10,3980,Hevea,,5,3.5094714,-0.2995203,0,0,-100
RR034H_011_WBaR1_S10,4527,Oryza,,16,11.2303084,-0.521502,0,0,-100
RR034H_011_WBaR1_S10,4564,Triticum,,1,0.7018943,-0.9923145,0,0,-100
RR034H_011_WBaR1_S10,5820,Plasmodium,,3,2.1056828,-1.1405181,0,0,-100
RR034H_011_WBaR1_S10,7174,Culex,,18,12.6340969,-0.3733635,0,0,-100
RR034H_011_WBaR1_S10,45350,Nematostella,,6,4.2113656,2.1511606,6,4.2113656,2.9305608
RR034H_011_WBaR1_S10,55193,Malassezia,,8,5.6151542,-0.9546982,0,0,-100
RR034H_011_WBaR1_S10,1535326,Candida,,1,0.7018943,-0.6990476,1,0.7018943,26.62306
RR034H_013_WBaR1_S12,4564,Triticum,,3,0.437606,-1.0083341,0,0,-100
RR034H_013_WBaR1_S12,5820,Plasmodium,,2,0.2917373,-1.2286272,0,0,-100
RR034H_013_WBaR1_S12,7174,Culex,,11,1.6045553,-0.5936908,0,0,-100
RR034H_013_WBaR1_S12,7215,Drosophila,,2,0.2917373,-0.9584846,0,0,-100
RR034H_013_WBaR1_S12,55193,Malassezia,,2,0.2917373,-0.9777313,0,0,-100
RR034H_015_WBaR1_S14,3701,Arabidopsis,,4,0.7767192,-0.6290325,0,0,-100
RR034H_015_WBaR1_S14,3877,Medicago,,0,0,-100,2,0.3883596,-0.7473254
RR034H_015_WBaR1_S14,4480,Aegilops,,1,0.1941798,-0.5570391,0,0,-100
RR034H_015_WBaR1_S14,4564,Triticum,,12,2.3301577,-0.8936187,1,0.1941798,-1.0686635
RR034H_015_WBaR1_S14,7174,Culex,,13,2.5243375,-0.5753172,0,0,-100
RR034H_015_WBaR1_S14,7215,Drosophila,,2,0.3883596,-0.9545644,0,0,-100
RR034H_015_WBaR1_S14,45350,Nematostella,,4,0.7767192,0.0320158,2,0.3883596,-0.3983659
RR034H_009_WBaR1_S9,3689,Populus,,4,1.7670623,-0.6596854,0,0,-100
RR034H_009_WBaR1_S9,4480,Aegilops,,1,0.4417656,-0.4711359,0,0,-100
RR034H_009_WBaR1_S9,4527,Oryza,,4,1.7670623,-1.3269052,0,0,-100
RR034H_009_WBaR1_S9,4564,Triticum,,7,3.092359,-0.8474185,0,0,-100
RR034H_009_WBaR1_S9,5820,Plasmodium,,2,0.8835312,-1.1998819,0,0,-100
RR034H_009_WBaR1_S9,7174,Culex,,24,10.6023739,-0.4139494,0,0,-100
RR034H_009_WBaR1_S9,7215,Drosophila,,16,7.0682492,-0.6835442,0,0,-100
RR034H_009_WBaR1_S9,45350,Nematostella,,0,0,-100,2,0.8835312,0.0328104
RR034H_009_WBaR1_S9,55193,Malassezia,,26,11.485905,-0.9292969,26,11.485905,-0.9551243
RR034H_122_wbldRa_S120,3701,Arabidopsis,,1,19.2752506,1.1910083,0,0,-100
RR034H_122_wbldRa_S120,3877,Medicago,,3,57.8257517,49.0512061,0,0,-100
RR034H_122_wbldRa_S120,4527,Oryza,,1,19.2752506,0.1631914,0,0,-100
RR034H_122_wbldRa_S120,5820,Plasmodium,,1,19.2752506,-0.3065379,0,0,-100
RR034H_122_wbldRa_S120,7215,Drosophila,,2,38.5505012,0.5937713,0,0,-100
RR034H_121_wbldRa_S119,3689,Populus,,6,27.4778117,1.8962583,0,0,-100
RR034H_121_wbldRa_S119,3701,Arabidopsis,,3,13.7389058,0.6462963,0,0,-100
RR034H_121_wbldRa_S119,3877,Medicago,,6,27.4778117,22.8462669,0,0,-100
RR034H_121_wbldRa_S119,4231,Helianthus,,1,4.5796353,1.6598625,0,0,-100
RR034H_121_wbldRa_S119,4527,Oryza,,12,54.9556233,3.1998965,0,0,-100
RR034H_121_wbldRa_S119,4564,Triticum,,10,45.7963528,1.7410475,1,4.5796353,-0.6661065
RR034H_121_wbldRa_S119,4930,Saccharomyces,,3,13.7389058,0.3781832,0,0,-100
RR034H_121_wbldRa_S119,5721,Trichomonas,,2,9.1592706,99,0,0,-100
RR034H_121_wbldRa_S119,5820,Plasmodium,,1,4.5796353,-1.0203504,0,0,-100
RR034H_121_wbldRa_S119,7174,Culex,,27,123.6501525,1.8443053,0,0,-100
