Assembly	consensus
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29632
Total length (>= 1000 bp)	29632
Total length (>= 5000 bp)	29632
Total length (>= 10000 bp)	29632
Total length (>= 25000 bp)	29632
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	29632
Total length	29632
Reference length	29695
GC (%)	31.92
Reference GC (%)	31.92
N50	29632
NG50	29632
N75	29632
NG75	29632
L50	1
LG50	1
L75	1
LG75	1
# total reads	5485760
# left	2742832
# right	2742832
Mapped (%)	0.85
Reference mapped (%)	0.54
Properly paired (%)	0.85
Reference properly paired (%)	0.54
Avg. coverage depth	127
Reference avg. coverage depth	112
Coverage >= 1x (%)	99.39
Reference coverage >= 1x (%)	99.79
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.303
Duplication ratio	1.005
# N's per 100 kbp	732.32
# mismatches per 100 kbp	176.34
# indels per 100 kbp	0.00
Largest alignment	29488
Total aligned length	29488
NA50	29488
NGA50	29488
NA75	29488
NGA75	29488
LA50	1
LGA50	1
LA75	1
LGA75	1
